full_date,weekday,time,mood
2021-03-20,Saturday,13:07,fine I’m fine 
2021-03-19,Friday,20:47,in love
2021-03-19,Friday,14:50,calm happy
2021-03-18,Thursday,11:59,fine I’m fine 
2021-03-17,Wednesday,20:46,fine I’m fine 
2021-03-17,Wednesday,13:57,sick
2021-03-16,Tuesday,16:38,sick
2021-03-15,Monday,19:54,meh
2021-03-14,Sunday,21:00,bad
2021-03-14,Sunday,15:17,fine I’m fine 
2021-03-13,Saturday,15:43,fine I’m fine 
2021-03-12,Friday,19:56,meh
2021-03-12,Friday,19:56,fine I’m fine 
2021-03-11,Thursday,16:58,irritated
2021-03-11,Thursday,10:51,in love
2021-03-10,Wednesday,11:27,fine I’m fine 
2021-03-09,Tuesday,23:40,awful
2021-03-09,Tuesday,15:21,meh
2021-03-08,Monday,12:32,sick
2021-03-07,Sunday,17:41,fine I’m fine 
2021-03-07,Sunday,02:41,fine I’m fine 
2021-03-06,Saturday,12:26,fine I’m fine 
2021-03-05,Friday,18:12,fine I’m fine 
2021-03-04,Thursday,13:38,meh
2021-03-03,Wednesday,13:28,fine I’m fine 
2021-03-02,Tuesday,19:32,irritated
2021-03-01,Monday,15:51,fine I’m fine 
2021-03-01,Monday,12:13,anxious
2021-02-28,Sunday,11:39,sick
2021-02-27,Saturday,21:03,excited
2021-02-27,Saturday,11:50,meh
2021-02-26,Friday,16:03,fine I’m fine 
2021-02-25,Thursday,23:26,irritated
2021-02-25,Thursday,13:55,fine I’m fine 
2021-02-24,Wednesday,23:40,fine I’m fine 
2021-02-24,Wednesday,17:31,irritated
2021-02-23,Tuesday,18:09,fine I’m fine 
2021-02-22,Monday,19:04,fine I’m fine 
2021-02-22,Monday,10:39,sick
2021-02-21,Sunday,23:14,fine I’m fine 
2021-02-21,Sunday,14:14,fine I’m fine 
2021-02-20,Saturday,11:49,fine I’m fine 
2021-02-19,Friday,18:16,fine I’m fine 
2021-02-18,Thursday,11:35,sick
2021-02-18,Thursday,09:34,wannadie
2021-02-17,Wednesday,11:35,fine I’m fine 
2021-02-16,Tuesday,15:13,sick
2021-02-15,Monday,14:43,fine I’m fine 
2021-02-14,Sunday,16:10,sick
2021-02-13,Saturday,17:16,excited
